OID_,_FID,Shape_Leng,fclass,_OID,HOP,POD,DIS_BUS,DIS_MTR,POI_COM,POI_SHOP,POI_SCE,POI_EDU,POI_MED,PR,TD,OPEN,CAR,GREN,ENCL,WAL,IMA,COMP,PM2_5,PM10,CO,TD_label
128,128.0,143.698,residential,128.0,14094.0,18.692307692307693,228.7202719980509,5044.470657124406,0.0,1.0,0.0,0.0,0.0,0.446040384585876,0.0,0.490131424134,0.017785313617756,0.342907089785,0.58750331942075,0.04711635319225,0.000110304499247,1.419207887025,1.381146489488804,2.84972010311425,0.034510726472198,none
129,129.0,116.082,residential,129.0,6272.0,89.54166666666667,446.9573827725538,5527.399282594055,2.0,57.0,0.0,20.0,1.0,1.01923517193682,0.0,0.5197671177875,0.011169985116237,0.039486253117925,0.68294682862025,0.18930993851675,0.001118028020284,1.4095646483525,1.377944812762038,2.858876752871403,0.034459660780391,none
130,130.0,76.04009999999998,residential,130.0,6272.0,94.08333333333331,485.7827126609232,5490.845271803851,3.0,55.0,0.0,18.0,1.0,1.103780455607011,0.0,0.54793006253525,0.011948734880937,0.044282844267675,0.651803060514,0.14364587172054,0.001336890530872,1.3765222875775,1.377944812762038,2.858876752871403,0.034459660780391,none
131,131.0,136.281,residential,131.0,14429.0,57.34615384615385,132.3545065916553,4913.240525475589,1.0,41.0,0.0,1.0,0.0,0.550954034799987,0.0,0.41659306905375,0.00556743575865,0.3202924613495,0.76056596512625,0.184927747834875,0.000412263065935,1.543251351765,1.381218729130963,2.849196120853964,0.034514105868626,none
132,132.0,558.975,primary,132.0,13974.333333333332,44.458333333333336,84.58891750034648,4852.630873443459,11.0,83.0,0.0,4.0,2.0,0.469444473442181,0.0,0.497156202936667,0.00961948379455,0.179480862904747,0.393873052093267,0.056152524228942,0.001471192386734,1.374785418359333,1.381264175442004,2.848998703832422,0.034515303997366,none
133,133.0,877.8809999999999,residential,133.0,16539.5,3.777777777777778,391.9694736397548,6087.867343313663,2.0,0.0,0.0,0.0,0.0,0.343138164331237,0.0,0.6318387318806,0.002388607163029,0.17425934205572,0.38368112689335,0.1231572761332,0.002962797233858,1.3235114796725,1.38075787812817,2.852591439203607,0.034492178069937,none
134,134.0,11.0519,tertiary,134.0,11329.0,55.89473684210527,150.5515664085225,4847.5923982993,4.0,28.0,0.0,3.0,2.0,0.513267438877633,0.0,0.65443990316725,0.011102699371705,0.081284488540075,0.35728377959025,0.07502142763305,0.00146015580878,1.17319382595,1.381263753229677,2.849056548750925,0.034514899813309,none
135,135.0,156.187,primary,135.0,14429.0,65.4074074074074,122.0810316021199,4853.1616817018885,3.0,71.0,0.0,3.0,2.0,0.549077216307976,0.0,0.593119793627667,0.013478842126315,0.201637605107983,0.4425469892645,0.084019563538367,0.001432549043831,1.319129181333333,1.381263753229677,2.849056548750925,0.034514899813309,none
136,136.0,1017.34,tertiary,136.0,16023.5,21.89855072463768,536.7301238260454,5361.244536828922,4.0,24.0,0.0,4.0,2.0,0.343051258084271,0.0,0.516102776059524,0.003186924595703,0.281788916267662,0.498598204105667,0.13712683270633,0.005215669457967,1.396078959464286,1.381570183064474,2.850617651009805,0.034502682403345,none
137,137.0,156.21,tertiary,137.0,11329.0,64.03448275862068,171.03255974775948,4764.508360883437,7.0,65.0,0.0,3.0,4.0,0.498810493920054,0.0,0.6373326558185,0.015671573010787,0.092142618324717,0.400869037236333,0.170177751926967,0.001065051220507,1.245299608913333,1.381393130285945,2.848693332854112,0.0345169156401,none
138,138.0,227.565,tertiary,138.0,6579.0,62.64516129032258,308.9358320039409,4572.547141837776,8.0,83.0,0.0,5.0,5.0,0.382476949651868,0.0,0.596048500643167,0.032582478350883,0.119730141268217,0.471618054156,0.202251448738167,0.000900391115241,1.381974552831666,1.38153023343798,2.847980057189363,0.03452135616128,none
139,139.0,622.932,tertiary,139.0,6864.766518796634,10.408163265306122,611.6325686275377,4249.259486574299,3.0,15.0,0.0,4.0,0.0,0.181840150168809,0.0,0.555708625517667,0.029091120340735,0.096734937798007,0.368366506443547,0.093573737828027,0.000937048977158,1.369601398488667,1.381592920966804,2.846133739183263,0.03453405432976,none
140,140.0,344.717,tertiary,140.0,6788.658461914612,34.08571428571429,576.0106925184734,4286.307535485727,5.0,32.0,0.0,5.0,4.0,0.242799405300565,0.0,0.632285152573125,0.013312650014126,0.107609852250788,0.479101204330875,0.25076404967375,0.001684763345374,1.31471197230375,1.381729551784528,2.846938641652543,0.034527843065453,none
141,141.0,120.962,residential,141.0,6272.0,100.5,377.6412253094033,5490.700148309646,2.0,92.0,0.0,25.0,2.0,1.038712918255636,0.0,0.464687117611,0.005465404096857,0.03821628064995,0.7388200720675,0.319443378746,0.002356839467244,1.3645863809525,1.378018067871262,2.859089268188876,0.034457867661997,none
142,142.0,67.6443,residential,142.0,6272.0,113.56521739130434,414.6204567584596,5459.427581941452,2.0,82.0,0.0,25.0,1.0,1.215183173122778,0.0,0.5556995437805,0.016757091843938,0.06429355115775,0.622451699125,0.184806159062,0.001250117658133,1.4145833689425,1.378018067871262,2.859089268188876,0.034457867661997,none
143,143.0,401.208,primary,143.0,6579.0,16.94871794871795,111.14324650618744,3117.750568934584,16.0,2.0,0.0,0.0,0.0,0.530628635128556,0.083333333333333,0.428719761859969,0.007481133970976,0.057471302728923,0.429990462047154,0.067190952672011,0.000380522239197,1.378677544533846,1.381944758301531,2.84211881406765,0.034560779310416,relatively low
144,144.0,229.715,residential,144.0,6579.0,12.233333333333333,57.22169588124009,3223.60539903094,10.0,2.0,0.0,0.0,0.0,0.225989213843488,0.0,0.597072371517333,0.00527451603288,0.066144215534,0.316009124221667,0.007005399156133,0.000523211008096,1.23698997995,1.381944758301531,2.84211881406765,0.034560779310416,none
145,145.0,101.973,residential,145.0,10200.0,88.79999999999998,198.70265020077767,5541.563076257845,0.0,46.0,0.0,11.0,1.0,0.671329550627696,0.0,0.495234113268025,0.059037175307319,0.2204934196637,0.581042595947113,0.143923920423819,0.002012999869762,1.478361385383462,1.378393570577338,2.858982031919952,0.034457073152341,none
146,146.0,101.048,residential,146.0,10200.0,78.875,248.9402377300236,5529.917217499309,1.0,54.0,0.0,13.0,1.0,0.695971419345548,0.0,0.5251069560162,0.050562766574764,0.180949924957448,0.552262066776151,0.159598303357291,0.004550206736449,1.45463594866669,1.378393570577338,2.858982031919952,0.034457073152341,none
147,147.0,314.401,residential,147.0,10200.0,86.3611111111111,327.30404017674306,5557.127081412031,2.0,108.0,0.0,25.0,5.0,0.807827551083606,0.0,0.633642410041857,0.045867762344014,0.055878368384214,0.455088974163429,0.083829207480128,0.004045758928571,1.357059014605714,1.378286787263683,2.859124207759536,0.03445651537798,none
148,148.0,2701.72,motorway,148.0,6300.0,8.21656050955414,654.93602145988,6186.236095432278,4.0,13.0,0.0,1.0,0.0,0.034001604523065,0.0,0.551086098953167,0.001344325871193,0.275537248277044,0.626786782500611,0.003813699777507,0.000191194465361,1.115295808496389,1.377861727929771,2.858130100662871,0.034465242672499,none
149,149.0,8.59596,motorway,149.0,6300.0,5.476190476190476,279.02318925355297,5378.804803097595,0.0,0.0,0.0,0.0,0.0,0.051772294643607,0.0,0.587006718279333,0.000115452042545,0.1500310323322,0.397628228200667,0.008497671972933,0.000293900210216,1.204590743058,1.377375778706258,2.859190595259018,0.034459802773139,none
150,150.0,68.6667,primary,150.0,11329.0,55.21739130434784,118.5714908572536,4843.608206280523,5.0,31.0,0.0,3.0,3.0,0.522067249516135,0.0,0.631821818524,0.008013107115956,0.10918483504328,0.399919921813,0.09739251299592,0.002045927852032,1.26465812772,1.381324051322788,2.849303405323185,0.034512919088685,none
151,151.0,132.78,residential,151.0,10200.0,55.5,117.99791686295548,5581.489556744409,0.0,3.0,0.0,2.0,0.0,0.429426066331607,0.0,0.4654295404274,0.002340808546687,0.3682653955666,0.6577697848236,0.257395602679,0.001128635636297,1.445562146582,1.378632966430225,2.859028708247726,0.03445575931638,none
152,152.0,120.645,residential,152.0,7634.114134665523,1.56,457.5781523198008,6340.091817896862,0.0,0.0,0.0,0.0,0.0,0.045512759957463,0.0,0.704808735584419,0.011824502382463,0.053548662525751,0.277518088785593,0.042857248919584,7.2512659285e-05,0.953074221430988,1.380104835941593,2.85622477645432,0.034469371795517,none
153,153.0,185.109,residential,153.0,7849.9253146167375,1.241379310344828,501.243627303584,6357.669797632693,0.0,0.0,0.0,0.0,0.0,0.025650057190698,0.0,0.704780905639612,0.011866102516603,0.053643258656313,0.277651540502976,0.042779541758778,7.2739183038e-05,0.953305520289146,1.380131360218406,2.856178167414643,0.034469589594471,none
154,154.0,218.622,tertiary,154.0,10200.0,73.29032258064515,136.6267077048035,5546.405037212088,0.0,42.0,0.0,8.0,2.0,0.543339549055825,0.0,0.4960360975148,0.05517798733998,0.219084296169,0.5810717219436,0.16366682921694,0.000343414674322,1.466562641924,1.378463126721667,2.859231835180412,0.034455033607233,none
155,155.0,66.816,residential,155.0,10200.0,85.45833333333333,215.3511351344536,5476.395530119471,0.0,45.0,0.0,9.0,2.0,0.646690534689944,0.0,0.466268148767,0.0597409167922,0.234691941595,0.606684697172,0.154492738203,0.000519901873117,1.52320287765,1.378463126721667,2.859231835180412,0.034455033607233,none
156,156.0,205.176,residential,156.0,6272.0,75.10344827586206,468.59795482596815,5425.341331418201,4.0,57.0,1.0,16.0,3.0,0.993983827923237,0.0,0.5277654073326,0.01385777484936,0.034141154461598,0.6293108788826,0.14083540991592,0.003039771390247,1.38215708128,1.37784431605163,2.859530747231379,0.034455485447558,none
157,157.0,123.352,residential,157.0,5962.730753914499,2.96,379.08795615842826,6240.103518251332,0.0,0.0,0.0,0.0,0.0,0.150724274707698,0.0,0.705671427115694,0.010574214962338,0.050735119185664,0.273362168169339,0.04559154181594,7.1723372007e-05,0.946807701968527,1.380108918306737,2.856559232820078,0.034467007947443,none
158,158.0,42.5642,tertiary,158.0,10200.0,83.22727272727273,190.2002209888648,5439.093623894276,0.0,50.0,0.0,9.0,5.0,0.648533685654638,0.0,0.565110172134,0.06326661626975,0.187809955643,0.5180439851985,0.08750062363005,0.00825592408695,1.38648450214,1.37845751538862,2.859398672660794,0.034453885952542,none
